"Track URI";"Track Name";"Artist URI(s)";"Artist Name(s)";"Album URI";"Album Name";"Album Artist URI(s)";"Album Artist Name(s)";"Album Release Date";"Album Image URL";"Disc Number";"Track Number";"Track Duration (ms)";"Track Preview URL";"Explicit";"Popularity";"Added By";"Added At"
"spotify:track:5ghIJDpPoe3CfHMGu71E6T";"Smells Like Teen Spirit";"spotify:artist:6olE6TJLqED3rqDCT0FyPh";"Nirvana";"spotify:album:2guirTSEqLizK7j9i1MTTZ";"Nevermind (Remastered)";"spotify:artist:6olE6TJLqED3rqDCT0FyPh";"Nirvana";"1991-09-26";"https://i.scdn.co/image/ab67616d0000b273e175a19e530c898d167d39bf";"1";"1";"301920";"";"false";"77";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:2IZZqH4K02UIYg5EohpNHF";"Zombie";"spotify:artist:7t0rwkOPGlDPEhaOcVtOt9";"The Cranberries";"spotify:album:5GugLrmYMl5VRoe2zNgLGp";"No Need To Argue";"spotify:artist:7t0rwkOPGlDPEhaOcVtOt9";"The Cranberries";"1994-10-03";"https://i.scdn.co/image/ab67616d0000b273e2213d84fabb15100c425198";"1";"4";"306426";"";"false";"81";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:3d9DChrdc6BOeFsbrZ3Is0";"Under the Bridge";"spotify:artist:0L8ExT028jH3ddEcZwqJJ5";"Red Hot Chili Peppers";"spotify:album:30Perjew8HyGkdSmqguYyg";"Blood Sugar Sex Magik (Deluxe Edition)";"spotify:artist:0L8ExT028jH3ddEcZwqJJ5";"Red Hot Chili Peppers";"1991-09-24";"https://i.scdn.co/image/ab67616d0000b273153d79816d853f2694b2cc70";"1";"11";"264306";"https://p.scdn.co/mp3-preview/90e41778392f27b6f7dd82db4c90916b3727aa6a?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"81";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:59WN2psjkt1tyaxjspN8fp";"Killing In The Name";"spotify:artist:2d0hyoQ5ynDBnkvAbJKORj";"Rage Against The Machine";"spotify:album:4Io5vWtmV1rFj4yirKb4y4";"Rage Against The Machine - XX (20th Anniversary Special Edition)";"spotify:artist:2d0hyoQ5ynDBnkvAbJKORj";"Rage Against The Machine";"1992";"https://i.scdn.co/image/ab67616d0000b2737676c7bf4e667590e496c2a3";"1";"2";"313573";"https://p.scdn.co/mp3-preview/af0c42e6dacc0b8bb43c269ea2075c3de3ee2c7a?cid=9950ac751e34487dbbe027c4fd7f8e99";"true";"79";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:5wj4E6IsrVtn8IBJQOd0Cl";"Wonderwall - Remastered";"spotify:artist:2DaxqgrOhkeH0fpeiQq2f4";"Oasis";"spotify:album:6ozp33PI3p9AdddB6ZL3xQ";"(What's The Story) Morning Glory? (Deluxe Edition) [Remastered]";"spotify:artist:2DaxqgrOhkeH0fpeiQq2f4";"Oasis";"1995-10-02";"https://i.scdn.co/image/ab67616d0000b2731f2be6f8ed797aeb11973194";"1";"3";"258732";"";"false";"7";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:1hKdDCpiI9mqz1jVHRKG0E";"Enter Sandman";"spotify:artist:2ye2Wgw4gimLv2eAKyk1NB";"Metallica";"spotify:album:37lWyRxkf3wQHCOlXM5WfX";"Metallica";"spotify:artist:2ye2Wgw4gimLv2eAKyk1NB";"Metallica";"1991-08-12";"https://i.scdn.co/image/ab67616d0000b273f2f3cd931f707244804807c1";"1";"1";"331573";"";"false";"0";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:4P5KoWXOxwuobLmHXLMobV";"Come As You Are";"spotify:artist:6olE6TJLqED3rqDCT0FyPh";"Nirvana";"spotify:album:2guirTSEqLizK7j9i1MTTZ";"Nevermind (Remastered)";"spotify:artist:6olE6TJLqED3rqDCT0FyPh";"Nirvana";"1991-09-26";"https://i.scdn.co/image/ab67616d0000b273e175a19e530c898d167d39bf";"1";"3";"218920";"";"false";"74";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:5yEPxDjbbzUzyauGtnmVEC";"Bitter Sweet Symphony";"spotify:artist:2cGwlqi3k18jFpUyTrsR84";"The Verve";"spotify:album:2okCg9scHue9GNELoB8U9g";"Urban Hymns";"spotify:artist:2cGwlqi3k18jFpUyTrsR84";"The Verve";"1997-09-29";"https://i.scdn.co/image/ab67616d0000b2738f0a8a62487542fef319d20a";"1";"1";"358426";"";"false";"0";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:2EoOZnxNgtmZaD8uUmz2nD";"Black Hole Sun";"spotify:artist:5xUf6j4upBrXZPg6AI4MRK";"Soundgarden";"spotify:album:29sTacnS0qA9xri6YS8xLA";"Superunknown (Deluxe Edition)";"spotify:artist:5xUf6j4upBrXZPg6AI4MRK";"Soundgarden";"1994-03-09";"https://i.scdn.co/image/ab67616d0000b273ae6d8e36136353d550b2587d";"1";"7";"318586";"";"false";"76";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:1FTSo4v6BOZH9QxKc3MbVM";"Song 2 - 2012 Remaster";"spotify:artist:7MhMgCo0Bl0Kukl93PZbYS";"Blur";"spotify:album:7HvIrSkKGJCzd8AKyjTJ6Q";"Blur (Special Edition)";"spotify:artist:7MhMgCo0Bl0Kukl93PZbYS";"Blur";"1997-02-10";"https://i.scdn.co/image/ab67616d0000b273d99d0823b831a78b50379100";"1";"2";"121160";"https://p.scdn.co/mp3-preview/183c0855e94b58dcb267e2b0721d4a3c99260acf?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"77";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:4d9RTWdrFLVAGhdzvqxkwn";"Losing My Religion";"spotify:artist:4KWTAlx2RvbpseOGMEmROg";"R.E.M.";"spotify:album:22c9GGhLosljU2p3xPmOfe";"Out Of Time";"spotify:artist:4KWTAlx2RvbpseOGMEmROg";"R.E.M.";"1991-03-12";"https://i.scdn.co/image/ab67616d0000b273940de5cc8632f815f68399f9";"1";"2";"268933";"";"false";"0";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:5QLHGv0DfpeXLNFo7SFEy1";"1979 - Remastered 2012";"spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i";"The Smashing Pumpkins";"spotify:album:55RhFRyQFihIyGf61MgcfV";"Mellon Collie And The Infinite Sadness (Deluxe Edition)";"spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i";"The Smashing Pumpkins";"1995";"https://i.scdn.co/image/ab67616d0000b273431ac6e6f393acf475730ec6";"2";"5";"266200";"";"false";"76";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:2TAQ9YGehOKWDqDak5DuXc";"Plush";"spotify:artist:2UazAtjfzqBF0Nho2awK4z";"Stone Temple Pilots";"spotify:album:1fyLNx6wxgDA59wFInnyup";"Thank You";"spotify:artist:2UazAtjfzqBF0Nho2awK4z";"Stone Temple Pilots";"2003-11-10";"https://i.scdn.co/image/ab67616d0000b27377696910e15c42a5e37636e5";"1";"5";"310400";"https://p.scdn.co/mp3-preview/8ddd877c5be9d5d3d8e8cb6c4a1792ca6513e4df?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"62";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:7yCPwWs66K8Ba5lFuU2bcx";"All The Small Things";"spotify:artist:6FBDaR13swtiWwGhX1WQsP";"blink-182";"spotify:album:5qt11cWjSs5Gbqj2Wyfu38";"Enema Of The State";"spotify:artist:6FBDaR13swtiWwGhX1WQsP";"blink-182";"1999-01-01";"https://i.scdn.co/image/ab67616d0000b273645606c85724da85f15f6dee";"1";"8";"168000";"";"false";"1";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:3HfB5hBU0dmBt8T0iCmH42";"Creep";"spotify:artist:4Z8W4fKeB5YxbusRsdQVPb";"Radiohead";"spotify:album:6AZv3m27uyRxi8KyJSfUxL";"Pablo Honey (Collector's Edition)";"spotify:artist:4Z8W4fKeB5YxbusRsdQVPb";"Radiohead";"1993-04-23";"https://i.scdn.co/image/ab67616d0000b27302411992c50bee356ce04d68";"1";"2";"235666";"";"true";"0";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:5PntSbMHC1ud6Vvl8x56qd";"Loser";"spotify:artist:3vbKDsSS70ZX9D2OcvbZmS";"Beck";"spotify:album:0iIGP4Sxw3KR4OCFv2yvz8";"Mellow Gold";"spotify:artist:3vbKDsSS70ZX9D2OcvbZmS";"Beck";"1994-03-01";"https://i.scdn.co/image/ab67616d0000b273b07e5a0787e609bc1f1270f8";"1";"1";"235000";"";"false";"71";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:6urCAbunOQI4bLhmGpX7iS";"Don't Speak";"spotify:artist:0cQbJU1aAzvbEmTuljWLlF";"No Doubt";"spotify:album:3VekjWskUut57hx6W9wqL8";"Tragic Kingdom";"spotify:artist:0cQbJU1aAzvbEmTuljWLlF";"No Doubt";"1995-10-10";"https://i.scdn.co/image/ab67616d0000b2736ebd5e789646a833b8f7d4ba";"1";"10";"263560";"";"false";"69";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:1Dr1fXbc2IxaK1Mu8P8Khz";"When I Come Around";"spotify:artist:7oPftvlwr6VrsViSDV7fJY";"Green Day";"spotify:album:4uG8q3GPuWHQlRbswMIRS6";"Dookie";"spotify:artist:7oPftvlwr6VrsViSDV7fJY";"Green Day";"1994-02-01";"https://i.scdn.co/image/ab67616d0000b273db89b08034de626ebee6823d";"1";"10";"178000";"https://p.scdn.co/mp3-preview/d31a72f5f5a6fee7c92a32bed95ee4e13ce16dde?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"75";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:1FkoVC85Ds3mFoK0fVqEqP";"Self Esteem";"spotify:artist:5LfGQac0EIXyAN8aUwmNAQ";"The Offspring";"spotify:album:7IDywTRaCI8qzS3X8tNU3x";"Smash";"spotify:artist:5LfGQac0EIXyAN8aUwmNAQ";"The Offspring";"1994-04-08";"https://i.scdn.co/image/ab67616d0000b2730158cbde70672dd821972907";"1";"8";"257826";"https://p.scdn.co/mp3-preview/bd96698c0e5b80265da694e52293c0d6b67593c1?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"70";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:5jafMI8FLibnjkYTZ33m0c";"High And Dry";"spotify:artist:4Z8W4fKeB5YxbusRsdQVPb";"Radiohead";"spotify:album:500FEaUzn8lN9zWFyZG5C2";"The Bends";"spotify:artist:4Z8W4fKeB5YxbusRsdQVPb";"Radiohead";"1995-03-28";"https://i.scdn.co/image/ab67616d0000b27322ca59e5c2d806439d5f08a2";"1";"3";"257480";"";"false";"24";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:7nnWIPM5hwE3DaUBkvOIpy";"Drive";"spotify:artist:3YcBF2ttyueytpXtEzn1Za";"Incubus";"spotify:album:2i6nd4FV6y7K9fln6eelmR";"Make Yourself";"spotify:artist:3YcBF2ttyueytpXtEzn1Za";"Incubus";"1999-10-26";"https://i.scdn.co/image/ab67616d0000b27374fad40214d982351347e46e";"1";"8";"232453";"https://p.scdn.co/mp3-preview/529519c74312d9a940114264e608f8cbf779628a?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"75";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:62nQ8UZVqR2RMvkJHkcO2o";"Jeremy";"spotify:artist:1w5Kfo2jwwIPruYS2UWh56";"Pearl Jam";"spotify:album:5B4PYA7wNN4WdEXdIJu58a";"Ten";"spotify:artist:1w5Kfo2jwwIPruYS2UWh56";"Pearl Jam";"1991-08-27";"https://i.scdn.co/image/ab67616d0000b273d400d27cba05bb0545533864";"1";"6";"318226";"https://p.scdn.co/mp3-preview/c5742cc09643dc0704b397d938b425c575f89b57?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"72";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:4YPhn26bIFm2KUkL1VLzQG";"Say It Ain't So";"spotify:artist:3jOstUTkEu2JkjvRdBA5Gu";"Weezer";"spotify:album:33CmI2lR8PnQwz6133Mc7l";"Weezer (Deluxe Edition)";"spotify:artist:3jOstUTkEu2JkjvRdBA5Gu";"Weezer";"1994-05-10";"https://i.scdn.co/image/ab67616d0000b273252c0cdd739400c558a753b2";"2";"14";"256880";"";"false";"0";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:0NJC0FDCODpPUntRTTQq97";"Cryin'";"spotify:artist:7Ey4PD4MYsKc5I2dolUwbH";"Aerosmith";"spotify:album:1tuM8yBePaekEruGsH2J79";"Get A Grip";"spotify:artist:7Ey4PD4MYsKc5I2dolUwbH";"Aerosmith";"1993-01-01";"https://i.scdn.co/image/ab67616d0000b273587b26d49596162397b29ec8";"1";"9";"308333";"";"false";"72";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:7lksFyVBmmkYBTVQcxnvC3";"What I Got";"spotify:artist:0EdvGhlC1FkGItLOWQzG4J";"Sublime";"spotify:album:243wqukvimLglvClDVsfHJ";"Sublime (Deluxe Edition)";"spotify:artist:0EdvGhlC1FkGItLOWQzG4J";"Sublime";"1996-07-30";"https://i.scdn.co/image/ab67616d0000b273844ff9f6694809e2ab9539e1";"1";"5";"171080";"";"true";"0";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:0uppYCG86ajpV2hSR3dJJ0";"Give It Away";"spotify:artist:0L8ExT028jH3ddEcZwqJJ5";"Red Hot Chili Peppers";"spotify:album:30Perjew8HyGkdSmqguYyg";"Blood Sugar Sex Magik (Deluxe Edition)";"spotify:artist:0L8ExT028jH3ddEcZwqJJ5";"Red Hot Chili Peppers";"1991-09-24";"https://i.scdn.co/image/ab67616d0000b273153d79816d853f2694b2cc70";"1";"9";"282906";"https://p.scdn.co/mp3-preview/fcdf3224d230b26b637418c2d1028bc482db7fce?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"74";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:3YRCqOhFifThpSRFJ1VWFM";"November Rain";"spotify:artist:3qm84nBOXUEQ2vnTfUTTFC";"Guns N' Roses";"spotify:album:0CxPbTRARqKUYighiEY9Sz";"Use Your Illusion I";"spotify:artist:3qm84nBOXUEQ2vnTfUTTFC";"Guns N' Roses";"1991-09-17";"https://i.scdn.co/image/ab67616d0000b273e44963b8bb127552ac761873";"1";"10";"536066";"";"false";"80";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:3LRJbFT9rKoKv4aW7PuBJC";"Longview";"spotify:artist:7oPftvlwr6VrsViSDV7fJY";"Green Day";"spotify:album:4uG8q3GPuWHQlRbswMIRS6";"Dookie";"spotify:artist:7oPftvlwr6VrsViSDV7fJY";"Green Day";"1994-02-01";"https://i.scdn.co/image/ab67616d0000b273db89b08034de626ebee6823d";"1";"4";"233240";"https://p.scdn.co/mp3-preview/3e0df002c12cc9f72b54d1b2e522e48e7939a3b2?cid=9950ac751e34487dbbe027c4fd7f8e99";"true";"67";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:39tLc4Xp58Lu4KcWHggeE2";"Closer";"spotify:artist:0X380XXQSNBYuleKzav5UO";"Nine Inch Nails";"spotify:album:3i13RcPnJ0AkHEamweLGhq";"The Downward Spiral";"spotify:artist:0X380XXQSNBYuleKzav5UO";"Nine Inch Nails";"1994-03-08";"https://i.scdn.co/image/ab67616d0000b2737af91211211f1aab89014dbb";"1";"5";"373306";"";"true";"0";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:45Ia1U4KtIjAPPU7Wv1Sea";"Are You Gonna Go My Way";"spotify:artist:5gznATMVO85ZcLTkE9ULU7";"Lenny Kravitz";"spotify:album:35LzZH7Fgog8lf1hfcdoMQ";"Are You Gonna Go My Way";"spotify:artist:5gznATMVO85ZcLTkE9ULU7";"Lenny Kravitz";"1993-03-09";"https://i.scdn.co/image/ab67616d0000b273542d87e4d1512bf7facb3860";"1";"1";"211933";"";"false";"74";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:2lXHg7BtTNoP39AezyCSfL";"Disarm - Remastered";"spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i";"The Smashing Pumpkins";"spotify:album:3YDm8Vu6IOjjVdLNHlJtj0";"Siamese Dream (2011 - Remaster)";"spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i";"The Smashing Pumpkins";"1993";"https://i.scdn.co/image/ab67616d0000b273f2d545725306109149c3527f";"1";"6";"196905";"";"false";"0";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:1HZ3cUZUw5htSFmah1V8Ko";"Shine";"spotify:artist:4e5V1Q2dKCzbLVMQ8qbTn6";"Collective Soul";"spotify:album:3uSVy9q97sAzd5UE0dMdOT";"Hints; Allegations & Things Left Unsaid";"spotify:artist:4e5V1Q2dKCzbLVMQ8qbTn6";"Collective Soul";"1994-03-29";"https://i.scdn.co/image/ab67616d0000b273eab31708f8d7466dde6e17c5";"1";"1";"306040";"";"false";"0";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:7CVYxHq1L0Z4G84jTDS6Jl";"Don't Look Back In Anger - Remastered";"spotify:artist:2DaxqgrOhkeH0fpeiQq2f4";"Oasis";"spotify:album:6ozp33PI3p9AdddB6ZL3xQ";"(What's The Story) Morning Glory? (Deluxe Edition) [Remastered]";"spotify:artist:2DaxqgrOhkeH0fpeiQq2f4";"Oasis";"1995-10-02";"https://i.scdn.co/image/ab67616d0000b2731f2be6f8ed797aeb11973194";"1";"4";"289559";"";"false";"1";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:0Puj4YlTm6xNzDDADXHMI9";"Sabotage";"spotify:artist:03r4iKL2g2442PT9n2UKsx";"Beastie Boys";"spotify:album:6lfjbwFGzQ6aSNP1N3JlT8";"Ill Communication";"spotify:artist:03r4iKL2g2442PT9n2UKsx";"Beastie Boys";"1994-05-23";"https://i.scdn.co/image/ab67616d0000b273436a305db8bd85b820da3e5a";"1";"6";"178440";"";"true";"73";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:1Z5LCXu5Ca3sHAy6OdUrBT";"Machinehead";"spotify:artist:78SHxLdtysAXgywQ4vE0Oa";"Bush";"spotify:album:72X9bb0R8LXGnVHZ3O40OK";"Sixteen Stone (Remastered)";"spotify:artist:78SHxLdtysAXgywQ4vE0Oa";"Bush";"1994-12-06";"https://i.scdn.co/image/ab67616d0000b273c4235ab468f3407e2ef7e6b0";"1";"7";"256333";"";"false";"0";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:5G0vAvojJAb8np3INdsISs";"Come Out and Play";"spotify:artist:5LfGQac0EIXyAN8aUwmNAQ";"The Offspring";"spotify:album:1o2LY3O2uyPvdwq7uTpgOa";"Smash [Remastered]";"spotify:artist:5LfGQac0EIXyAN8aUwmNAQ";"The Offspring";"1994-04-08";"https://i.scdn.co/image/ab67616d0000b2736e30efe058cc7a7cfe8bc9b0";"1";"7";"197800";"";"false";"0";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:2V4Bc2I962j7acQj1N0PiQ";"Celebrity Skin";"spotify:artist:5SHQUMAmEK5KmuSb0aDvsn";"Hole";"spotify:album:2KE8WCHtD8qnAxXeIzNEId";"Celebrity Skin";"spotify:artist:5SHQUMAmEK5KmuSb0aDvsn";"Hole";"1998-01-01";"https://i.scdn.co/image/ab67616d0000b2730649124c37ce988317263671";"1";"1";"162666";"";"false";"68";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:6txWz9UapYHVxEd7dDIHXT";"No Rain";"spotify:artist:5sD1ZLf2dGQ9gQ3YJl1eAd";"Blind Melon";"spotify:album:55jET4vDioHHd7ztX7OX3h";"Blind Melon";"spotify:artist:5sD1ZLf2dGQ9gQ3YJl1eAd";"Blind Melon";"1992-01-01";"https://i.scdn.co/image/ab67616d0000b2737ed1df1690df31d094d7c2bc";"1";"7";"217106";"";"false";"75";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:05NYcsjJwOYq4jIiKPVj9p";"Hard To Handle";"spotify:artist:5krkohEVJYw0qoB5VWwxaC";"The Black Crowes";"spotify:album:2NRRQLuW6j3EsoWpIl2MR3";"Shake Your Money Maker";"spotify:artist:5krkohEVJYw0qoB5VWwxaC";"The Black Crowes";"1990-02-13";"https://i.scdn.co/image/ab67616d0000b273a4d2cb95d3ea17f773db23ee";"1";"6";"188066";"";"false";"70";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:6mfkHv00I6jhHIn7EWHJ2N";"Just A Girl";"spotify:artist:0cQbJU1aAzvbEmTuljWLlF";"No Doubt";"spotify:album:5fSlrmZPalwAAQDwu6shK2";"The Singles Collection";"spotify:artist:0cQbJU1aAzvbEmTuljWLlF";"No Doubt";"2003-01-01";"https://i.scdn.co/image/ab67616d0000b273738fbaa134106eafb7772552";"1";"1";"205946";"";"false";"58";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:6cJqlSO19vsfCsH1FeFI35";"Santeria";"spotify:artist:0EdvGhlC1FkGItLOWQzG4J";"Sublime";"spotify:album:5dwkpREUiLdmPLy4POzFSa";"Sublime (Explicit Version)";"spotify:artist:0EdvGhlC1FkGItLOWQzG4J";"Sublime";"1996-07-30";"https://i.scdn.co/image/ab67616d0000b2730193b418a25d229453c1927b";"1";"6";"183200";"";"false";"0";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:3ZFwuJwUpIl0GeXsvF1ELf";"Nothing Else Matters";"spotify:artist:2ye2Wgw4gimLv2eAKyk1NB";"Metallica";"spotify:album:37lWyRxkf3wQHCOlXM5WfX";"Metallica";"spotify:artist:2ye2Wgw4gimLv2eAKyk1NB";"Metallica";"1991-08-12";"https://i.scdn.co/image/ab67616d0000b273f2f3cd931f707244804807c1";"1";"8";"388733";"";"false";"0";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:48iWbsOaBUAGzMdoSmqyg1";"Lightning Crashes";"spotify:artist:6eoJpTIlcuxJNjV5fDzDJH";"Live";"spotify:album:4ZsG3ifn9sIcrFT1ecw0gF";"Throwing Copper";"spotify:artist:6eoJpTIlcuxJNjV5fDzDJH";"Live";"1994-01-01";"https://i.scdn.co/image/ab67616d0000b27323d8d82a798baa960fdb5070";"1";"5";"325600";"";"false";"68";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:5JZcX7TTLx4l0xFIXJ3DBt";"What's My Age Again?";"spotify:artist:6FBDaR13swtiWwGhX1WQsP";"blink-182";"spotify:album:5qt11cWjSs5Gbqj2Wyfu38";"Enema Of The State";"spotify:artist:6FBDaR13swtiWwGhX1WQsP";"blink-182";"1999-01-01";"https://i.scdn.co/image/ab67616d0000b273645606c85724da85f15f6dee";"1";"5";"148573";"";"false";"0";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:0rFWuqFgHAfuzE8uSB9TWR";"Live And Let Die";"spotify:artist:3qm84nBOXUEQ2vnTfUTTFC";"Guns N' Roses";"spotify:album:0CxPbTRARqKUYighiEY9Sz";"Use Your Illusion I";"spotify:artist:3qm84nBOXUEQ2vnTfUTTFC";"Guns N' Roses";"1991-09-17";"https://i.scdn.co/image/ab67616d0000b273e44963b8bb127552ac761873";"1";"3";"182733";"";"false";"70";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:0Dw9z44gXhplDh5HCWZIxP";"You Oughta Know";"spotify:artist:6ogn9necmbUdCppmNnGOdi";"Alanis Morissette";"spotify:album:09AwlP99cHfKVNKv4FC8VW";"Jagged Little Pill";"spotify:artist:6ogn9necmbUdCppmNnGOdi";"Alanis Morissette";"1995-06-09";"https://i.scdn.co/image/ab67616d0000b27392c885317fbe4bfa680109b4";"1";"2";"249200";"https://p.scdn.co/mp3-preview/6117a37fd6fe3fe991543de0c8fc9826d8097257?cid=9950ac751e34487dbbe027c4fd7f8e99";"true";"55";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:42et6fnHCw1HIPSrdPprMl";"Semi-Charmed Life";"spotify:artist:6TcnmlCSxihzWOQJ8k0rNS";"Third Eye Blind";"spotify:album:2gToC0XAblE9h3UZD6aAaQ";"Third Eye Blind";"spotify:artist:6TcnmlCSxihzWOQJ8k0rNS";"Third Eye Blind";"1997-04-08";"https://i.scdn.co/image/ab67616d0000b2734139c9208eeed67d2a211beb";"1";"3";"268360";"https://p.scdn.co/mp3-preview/4fd88f2082b5d4ad83e6ef0a55376301d0d70b9d?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"75";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:11LmqTE2naFULdEP94AUBa";"Heart-Shaped Box";"spotify:artist:6olE6TJLqED3rqDCT0FyPh";"Nirvana";"spotify:album:6ohX7moZZnF1FwYrli1OJ6";"In Utero - 20th Anniversary - Deluxe Edition";"spotify:artist:6olE6TJLqED3rqDCT0FyPh";"Nirvana";"1993-09-21";"https://i.scdn.co/image/ab67616d0000b273aca059cebc1841277db22d1c";"1";"3";"281160";"";"false";"77";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:3SVAN3BRByDmHOhKyIDxfC";"Karma Police";"spotify:artist:4Z8W4fKeB5YxbusRsdQVPb";"Radiohead";"spotify:album:7dxKtc08dYeRVHt3p9CZJn";"OK Computer";"spotify:artist:4Z8W4fKeB5YxbusRsdQVPb";"Radiohead";"1997-05-28";"https://i.scdn.co/image/ab67616d0000b273adb1732fa8d44b8eb2f6c0bf";"1";"6";"264066";"";"false";"29";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:0u5aO1GYsIhAWCPuXdwnak";"Today - Remastered";"spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i";"The Smashing Pumpkins";"spotify:album:0bQglEvsHphrS19FGODEGo";"Siamese Dream (Deluxe Edition)";"spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i";"The Smashing Pumpkins";"1993";"https://i.scdn.co/image/ab67616d0000b2735274788f34fc7656d2856dfd";"1";"3";"201173";"";"false";"64";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:4ReyTz0y3TGkX48wO3Llot";"Epic";"spotify:artist:6GbCJZrI318Ybm8mY36Of5";"Faith No More";"spotify:album:6LEP3L94jnkqjOxYJWPRP0";"The Real Thing";"spotify:artist:6GbCJZrI318Ybm8mY36Of5";"Faith No More";"1989";"https://i.scdn.co/image/ab67616d0000b273e081ef6de656ee714788ea0d";"1";"2";"293653";"https://p.scdn.co/mp3-preview/990d2a036460850226e2058f1dc9ad063e13dc61?cid=9950ac751e34487dbbe027c4fd7f8e99";"false";"69";"spotify:user:";"2020-11-05T11:39:42Z"
"spotify:track:3G69vJMWsX6ZohTykad2AU";"One";"spotify:artist:51Blml2LZPmy7TTiAg47vQ";"U2";"spotify:album:0ta5VdkJcpdVnNrn7g4cZe";"Achtung Baby (Deluxe Edition)";"spotify:artist:51Blml2LZPmy7TTiAg47vQ";"U2";"1991-11-18";"https://i.scdn.co/image/ab67616d0000b27337cd18af5725b9cad0a5ab53";"1";"3";"276186";"";"false";"77";"spotify:user:";"2020-11-05T11:39:42Z"
